iter	Passed	Remaining
562	3268	8342
563	3273	8334
564	3279	8328
565	3283	8319
566	3285	8304
567	3290	8296
568	3293	8283
569	3298	8276
570	3302	8265
571	3306	8255
572	3310	8243
573	3315	8236
574	3320	8228
575	3324	8218
576	3329	8210
577	3333	8200
578	3338	8193
579	3342	8183
580	3347	8175
581	3350	8162
582	3355	8155
583	3358	8143
584	3363	8136
585	3369	8129
586	3372	8118
587	3378	8111
588	3382	8104
589	3386	8093
590	3392	8087
591	3396	8078
592	3400	8068
593	3404	8057
594	3408	8047
595	3411	8036
596	3416	8029
597	3419	8017
598	3424	8009
599	3427	7997
600	3432	7990
601	3435	7978
602	3441	7973
603	3447	7969
604	3451	7958
605	3455	7948
606	3459	7939
607	3465	7934
608	3474	7936
609	3479	7929
610	3483	7919
611	3487	7909
612	3491	7899
613	3495	7889
614	3499	7881
615	3503	7870
616	3508	7864
617	3512	7855
618	3516	7845
619	3519	7834
620	3523	7824
621	3528	7817
622	3532	7808
623	3539	7805
624	3543	7795
625	3547	7786
626	3550	7775
627	3555	7768
628	3560	7760
629	3564	7750
630	3569	7745
631	3574	7736
632	3577	7726
633	3582	7717
634	3586	7708
635	3590	7701
636	3594	7690
637	3599	7683
638	3602	7672
639	3606	7664
640	3610	7654
641	3617	7652
642	3621	7643
643	3625	7633
644	3632	7631
645	3636	7621
646	3640	7612
647	3648	7611
648	3656	7612
649	3661	7605
650	3665	7596
651	3670	7589
652	3674	7580
653	3678	7570
654	3684	7565
655	3687	7554
656	3692	7548
657	3697	7541
658	3701	7531
659	3706	7525
660	3710	7516
661	3715	7509
662	3718	7498
663	3722	7489
664	3725	7479
665	3730	7472
666	3733	7462
667	3738	7454
668	3743	7448
669	3750	7444
670	3757	7441
671	3765	7442
672	3768	7430
673	3772	7421
674	3776	7413
675	3780	7404
676	3784	7396
677	3789	7388
678	3794	7382
679	3798	7373
680	3803	7367
681	3811	7365
682	3815	7357
683	3820	7349
684	3825	7343
685	3831	7339
686	3836	7332
687	3841	7325
688	3847	7320
689	3855	7319
690	3861	7315
691	3871	7318
692	3877	7312
693	3885	7312
694	3894	7312
695	3901	7310
696	3907	7305
697	3914	7301
698	3928	7312
699	3936	7311
700	3940	7301
701	3945	7295
702	3951	7290
703	3957	7284
704	3962	7278
705	3966	7270
706	3969	7260
707	3973	7251
708	3977	7242
709	3981	7233
710	3984	7224
711	3988	7216
712	3992	7206
713	3997	7199
714	4000	7189
715	4005	7183
716	4008	7173
717	4013	7166
718	4017	7157
719	4021	7150
720	4026	7142
721	4031	7136
722	4036	7130
723	4045	7129
724	4051	7124
725	4054	7115
726	4061	7111
727	4065	7103
728	4068	7094
729	4073	7087
730	4077	7078
731	4081	7070
732	4087	7064
733	4091	7056
734	4096	7049
735	4099	7040
736	4104	7033
737	4107	7024
738	4113	7019
739	4120	7015
740	4124	7007
741	4129	7001
742	4135	6995
743	4142	6993
744	4144	6981
745	4148	6973
746	4153	6966
747	4158	6960
748	4163	6953
749	4165	6942
750	4169	6934
751	4174	6928
752	4179	6921
753	4183	6913
754	4187	6905
755	4189	6894
756	4194	6887
757	4196	6876
758	4204	6874
759	4211	6871
760	4215	6863
761	4223	6861
762	4229	6856
763	4234	6850
764	4242	6848
765	4247	6842
766	4254	6838
767	4258	6830
768	4262	6822
769	4267	6816
770	4274	6814
771	4286	6819
772	4292	6812
773	4296	6806
774	4301	6798
775	4307	6793
776	4315	6792
777	4327	6797
778	4332	6790
779	4337	6784
780	4345	6782
781	4350	6775
782	4354	6768
783	4365	6770
784	4381	6781
785	4393	6786
786	4411	6798
787	4425	6807
788	4440	6814
789	4455	6824
790	4473	6837
791	4483	6838
792	4495	6842
793	4505	6843
794	4521	6852
795	4528	6849
796	4534	6845
797	4542	6841
798	4546	6833
799	4552	6828
800	4560	6826
801	4573	6832
802	4583	6833
803	4596	6837
804	4604	6835
805	4611	6830
806	4616	6824
807	4623	6820
808	4629	6815
809	4634	6808
810	4637	6799
811	4641	6791
812	4645	6783
813	4650	6775
814	4653	6766
815	4657	6758
816	4661	6749
817	4665	6740
818	4669	6733
819	4675	6728
820	4681	6722
821	4684	6713
822	4691	6708
823	4694	6699
824	4700	6695
825	4707	6690
826	4711	6681
827	4714	6673
828	4719	6666
829	4723	6657
830	4727	6650
831	4732	6643
832	4740	6640
833	4744	6632
834	4747	6624
835	4752	6616
836	4758	6611
